,Department,Class,Credits,Requisites,Course Designation,Repeatable for Credit,Last Taught
0,Accounting and Information Systems,ACCT I S 100,3,Not open to students with credit for ACCT I S 300,,No,Fall 2023
1,Accounting and Information Systems,ACCT I S 211,3,ACCT I S 100 or declared in undergraduate Business Exchange program,,No,Fall 2023
2,Accounting and Information Systems,ACCT I S 300,3,Satisfied Quantitative Reasoning (QR) A requirement. Not open to students with credit for ACCT I S 100.,Gen Ed - Quantitative Reasoning Part B,No,Fall 2023
3,Accounting and Information Systems,ACCT I S 301,3,ACCT I S 100 or declared in undergraduate Business Exchange program,,No,Fall 2023
4,Accounting and Information Systems,ACCT I S 302,3,ACCT I S 301 or declared in undergraduate Business Exchange program,,No,Fall 2023
5,Accounting and Information Systems,ACCT I S 310,3,ACCT I S 211 or declared in undergraduate Business Exchange program,,No,Fall 2023
6,Accounting and Information Systems,ACCT I S/LAW  329,3,"ACCT I S 100, 300, or LAW 811. Not open to students declared in Business",,No,Spring 2023
7,Accounting and Information Systems,ACCT I S 340,3,ACCT I S 211 and (ACCT I S 301 or concurrent enrollment); or declared in undergraduate Business Exchange program,,No,Fall 2023
8,Accounting and Information Systems,ACCT I S 406,3,"ACCT I S 302, 702, declared in Business",,No,Fall 2023
9,Accounting and Information Systems,ACCT I S 600,1,,Workplace - Workplace Experience Course,No,Spring 2023
10,Accounting and Information Systems,ACCT I S 601,3,,,No,Spring 2023
11,Accounting and Information Systems,ACCT I S 603,3,ACCT I S 302 or 702,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
12,Accounting and Information Systems,ACCT I S 620,3,ACCT I S 301 or concurrent enrollment or declared in undergraduate Business Exchange program,,No,Fall 2023
13,Accounting and Information Systems,ACCT I S 621,3,"ACCT I S 620, declared in Business",,No,Fall 2023
14,Accounting and Information Systems,ACCT I S 630,3,"ACCT I S 301, 701, or declared in the Business Exchange program",,No,Fall 2023
15,Accounting and Information Systems,ACCT I S 640,3,"(ACCT I S 340 or concurrent enrollment), (ACCT I S 100 and GEN BUS 307), (ACCT I S 700 or concurrent enrollment), or declared in the Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
16,Accounting and Information Systems,ACCT I S 700,2,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
17,Accounting and Information Systems,ACCT I S 701,3,ACCT I S 700,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
18,Accounting and Information Systems,ACCT I S 702,3,ACCT I S 701,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
19,Accounting and Information Systems,ACCT I S 706,3,ACCT I S 701,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
20,Accounting and Information Systems,ACCT I S 710,2,ACCT I S 700,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
21,Accounting and Information Systems,ACCT I S 722,3,"ACCT I S 620 and graduate/professional standing, declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
22,Accounting and Information Systems,ACCT I S 724,3,"Graduate/professional standing and (ACCT I S 620 or LAW 742), declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
23,Accounting and Information Systems,ACCT I S 725,3,"Graduate/professional standing and (ACCT I S 620 or LAW 742), declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
24,Accounting and Information Systems,ACCT I S 726,3,ACCT I S 620 and 621,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
25,Accounting and Information Systems,ACCT I S 730,3,"(Graduate/professional standing, ACCT I S 340, and 630), declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
26,Accounting and Information Systems,ACCT I S 740,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
27,Accounting and Information Systems,ACCT I S 765,1,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2022
28,Accounting and Information Systems,ACCT I S 770,3,Graduate/professional standing and (ACCT I S 302 or 702); or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
29,Accounting and Information Systems,ACCT I S 771,3,"Graduate/professional standing and (ACCT I S 310 or 710), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
30,Accounting and Information Systems,ACCT I S 772,3,"ACCT I S 620 and graduate/professional standing, declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
31,Accounting and Information Systems,ACCT I S/E P D/GEN BUS  781,1,Graduate/professional standing. Not open to students declared in an MBA program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Summer 2023
32,Accounting and Information Systems,ACCT I S 971,3,Declared in Business PHD,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
33,Accounting and Information Systems,ACCT I S 990,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
34,Accounting and Information Systems,ACCT I S 999,1,Declared in Business PHD,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
35,Actuarial Science,ACT SCI 300,1,"(STAT/MATH  309, STAT 311, or STAT/MATH  431), declared in Capstone Certificate in Actuarial Science, or declared in undergraduate Business Exchange program. Not open to graduate students.",,"Yes, for 2 number of completions",Fall 2023
36,Actuarial Science,ACT SCI 301,1,"(ACT SCI 303 or concurrent enrollment), declared in Capstone Certificate in Actuarial Science, or declared in undergraduate Business Exchange program. Not open to graduate students.",,"Yes, for 2 number of completions",Fall 2023
37,Actuarial Science,ACT SCI 303,3,"MATH 222, 276, or declared in the Business Exchange program",,No,Fall 2023
38,Actuarial Science,ACT SCI 365,1,,,"Yes, unlimited number of completions",Fall 2023
39,Actuarial Science,ACT SCI 399,1,Consent of instructor,Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, for 4 number of completions",Fall 2022
40,Actuarial Science,ACT SCI 650,3,"ACT SCI 303 and (STAT/MATH  309, STAT 311, or STAT/MATH  431), or declared in undergraduate Business Exchange program",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
41,Actuarial Science,ACT SCI 651,3,ACT SCI 650,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
42,Actuarial Science,ACT SCI 652,3,(STAT/MATH  310 or STAT 312 or concurrent enrollment) or declared in undergraduate Business Exchange program,Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
43,Actuarial Science,ACT SCI 653,3,ACT SCI 652 or declared in undergraduate Business Exchange program,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
44,Actuarial Science,ACT SCI 654,2,"Junior standing and (GEN BUS 306, 704, STAT/MATH  310, or STAT 312), or declared in the Business Exchange program",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2022
45,Actuarial Science,ACT SCI 655,2,"Junior standing and (GEN BUS 306, 704, STAT/MATH  310, or STAT 312), or declared in the Business Exchange program",,No,Fall 2023
46,Actuarial Science,ACT SCI 657,2,"ACT SCI 654, 655, or GEN BUS 656",,No,Spring 2023
47,Actuarial Science,ACT SCI 765,1,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2020
48,African Cultural Studies,AFRICAN 100,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
49,African Cultural Studies,AFRICAN 201,3,,Gen Ed - Communication Part B Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
50,African Cultural Studies,AFRICAN 202,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
51,African Cultural Studies,AFRICAN 203,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Summer 2023
52,African Cultural Studies,AFRICAN 204,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
53,African Cultural Studies,AFRICAN/FOLKLORE  210,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
54,African Cultural Studies,AFRICAN 212,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
55,African Cultural Studies,AFRICAN 230,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2022
56,African Cultural Studies,AFRICAN 231,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
57,African Cultural Studies,AFRICAN/AFROAMER  233,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
58,African Cultural Studies,AFRICAN 275,1,Sophomore standing,Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
59,African Cultural Studies,AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC  277,4,,Breadth - Either Humanities or Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
60,African Cultural Studies,AFRICAN 300,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2020
61,African Cultural Studies,AFRICAN/INTL ST  302,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
62,African Cultural Studies,AFRICAN 303,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
63,African Cultural Studies,AFRICAN 321,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
64,African Cultural Studies,AFRICAN 322,5,AFRICAN 321 or 339,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
65,African Cultural Studies,AFRICAN 323,4,AFRICAN 322 or 340,Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
66,African Cultural Studies,AFRICAN 324,4,AFRICAN 323 or 341,Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
67,African Cultural Studies,AFRICAN 329,3,AFRICAN 324 or 342,Frgn Lang - 5th + semester language course Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
68,African Cultural Studies,AFRICAN 330,3,AFRICAN 329 or 343,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
69,African Cultural Studies,AFRICAN 331,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
70,African Cultural Studies,AFRICAN 332,5,AFRICAN 331,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
71,African Cultural Studies,AFRICAN 333,4,AFRICAN 332,Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
72,African Cultural Studies,AFRICAN 334,4,AFRICAN 333,Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
73,African Cultural Studies,AFRICAN 335,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2022
74,African Cultural Studies,AFRICAN 336,4,AFRICAN 335,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2023
75,African Cultural Studies,AFRICAN 339,4,"Declared in Arabic, Persian, and Turkish Language Institute",Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
76,African Cultural Studies,AFRICAN 340,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 339 or 321)",Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
77,African Cultural Studies,AFRICAN 341,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 340 or 322)",Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
78,African Cultural Studies,AFRICAN 342,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 341 or 323)",Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
79,African Cultural Studies,AFRICAN 343,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 342 or 324)",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
80,African Cultural Studies,AFRICAN 344,4,"Declared in Arabic, Persian, and Turkish Language Institute and (AFRICAN 343 or 329)",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
81,African Cultural Studies,AFRICAN 361,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
82,African Cultural Studies,AFRICAN/ASIAN/RELIG ST  370,3,Sophomore standing,Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
83,African Cultural Studies,AFRICAN 371,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
84,African Cultural Studies,AFRICAN 372,5,AFRICAN 371,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
85,African Cultural Studies,AFRICAN 373,4,AFRICAN 372,Frgn Lang - 3rd semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
86,African Cultural Studies,AFRICAN 374,4,AFRICAN 373,Frgn Lang - 4th semester language course Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
87,African Cultural Studies,AFRICAN 391,5,,Frgn Lang - 1st semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
88,African Cultural Studies,AFRICAN 392,4,AFRICAN 391,Frgn Lang - 2nd semester language course Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2020
89,African Cultural Studies,AFRICAN 402,3,"AFRICAN 201, 203, 211, 231, FOLKLORE/AFRICAN  210, or graduate/professional standing",Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2020
90,African Cultural Studies,AFRICAN 403,3,Sophomore standing and 3 credits in AFRICAN,Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
91,African Cultural Studies,AFRICAN 405,3,"Sophomore standing and 3 credits in AFRICAN, or graduate/professional standing",Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
92,African Cultural Studies,AFRICAN 406,3,"Sophomore standing and (AFRICAN 201, 203, 211, 231, or FOLKLORE/AFRICAN  210), or graduate/professional standing",Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
93,African Cultural Studies,AFRICAN 409,3,"Sophomore standing and 3 credits in AFRICAN, or graduate/professional standing",Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2020
94,African Cultural Studies,AFRICAN/AFROAMER  413,3,"Sophomore standing and (AFRICAN 201, 203, 211, 231, or FOLKLORE/AFRICAN  210), or graduate/professional standing",Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2022
95,African Cultural Studies,AFRICAN/RELIG ST  414,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
96,African Cultural Studies,AFRICAN 435,3,AFRICAN 334,Breadth - Humanities Frgn Lang - 5th + semester language course Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
97,African Cultural Studies,AFRICAN 436,3,AFRICAN 435,Breadth - Humanities Frgn Lang - 5th + semester language course Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
98,African Cultural Studies,AFRICAN/FRENCH  440,3,"Sophomore standing and 3 credits in AFRICAN, or graduate/professional standing",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2021
99,African Cultural Studies,AFRICAN/COM ARTS/L I S  444,3,Junior standing,Breadth - Either Humanities or Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
100,African Cultural Studies,AFRICAN/PORTUG  451,3,PORTUG 221 and 312,Breadth - Literature. Counts toward the Humanities req Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
101,African Cultural Studies,AFRICAN 605,3,"Junior standing and (AFRICAN 402, 403, 405, 406, 407, 409, 412, 413, 440, 453, or 471), or graduate/professional standing",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2023
102,African Cultural Studies,AFRICAN 670,2,Concurrent enrollment in AFRICAN 671,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
103,African Cultural Studies,AFRICAN 671,4,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
104,African Cultural Studies,AFRICAN 672,8,Admitted to Summer Immersion Language Institute (SILI),Grad 50% - Counts toward 50% graduate coursework requirement,No,Summer 2023
105,African Cultural Studies,AFRICAN 699,1,Consent of instructor,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
106,African Cultural Studies,AFRICAN 700,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
107,African Cultural Studies,AFRICAN 703,1,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
108,African Cultural Studies,AFRICAN 803,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
109,African Cultural Studies,AFRICAN 804,3,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, for 10 number of completions",Spring 2023
110,African Cultural Studies,AFRICAN 901,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
111,African Cultural Studies,AFRICAN 905,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2023
112,African Cultural Studies,AFRICAN 926,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2022
113,African Cultural Studies,AFRICAN/ANTHRO/ECON/GEOG/HISTORY/POLI SCI  983,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2021
114,African Cultural Studies,AFRICAN 990,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
115,African Cultural Studies,AFRICAN 999,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
116,Afro-American Studies,AFROAMER/AMER IND/ASIAN AM/CHICLA/FOLKLORE  102,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
117,Afro-American Studies,AFROAMER 151,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2022
118,Afro-American Studies,AFROAMER 154,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
119,Afro-American Studies,AFROAMER 155,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2021
120,Afro-American Studies,AFROAMER 156,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
121,Afro-American Studies,AFROAMER 199,1,Consent of instructor,Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2023
122,Afro-American Studies,AFROAMER/GEN&WS  221,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2020
123,Afro-American Studies,AFROAMER/GEN&WS  222,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
124,Afro-American Studies,AFROAMER 225,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
125,Afro-American Studies,AFROAMER 227,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
126,Afro-American Studies,AFROAMER 231,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
127,Afro-American Studies,AFROAMER/AFRICAN  233,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
128,Afro-American Studies,AFROAMER/ART HIST  242,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
129,Afro-American Studies,AFROAMER/ANTHRO/C&E SOC/GEOG/HISTORY/LACIS/POLI SCI/SOC/SPANISH  260,3,,Breadth - Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
130,Afro-American Studies,AFROAMER 265,3,Sophomore standing; not open to special students,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2021
131,Afro-American Studies,AFROAMER/GEN&WS  267,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
132,Afro-American Studies,AFROAMER 271,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
133,Afro-American Studies,AFROAMER 272,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
134,Afro-American Studies,AFROAMER/HIST SCI  275,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
135,Afro-American Studies,AFROAMER/AFRICAN/ANTHRO/GEOG/HISTORY/POLI SCI/SOC  277,4,,Breadth - Either Humanities or Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
136,Afro-American Studies,AFROAMER 302,3,Sophomore standing,Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2023
137,Afro-American Studies,AFROAMER 303,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2020
138,Afro-American Studies,AFROAMER/DANCE/MUSIC  318,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
139,Afro-American Studies,AFROAMER/ASIAN AM/DANCE/FOLKLORE  319,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
140,Afro-American Studies,AFROAMER/HISTORY  321,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
141,Afro-American Studies,AFROAMER/GEN&WS  326,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Humanities Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
142,Afro-American Studies,AFROAMER/GEN&WS  333,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
143,Afro-American Studies,AFROAMER 337,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
144,Afro-American Studies,AFROAMER 338,3,Sophomore standing,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
